date,tot,male,female,gs,jh,hs,vt,sc,bs,ms,m,s,d,w,nm,moth,ai,asian,pi,bl,wh,roth,hisp,nhisp,ft,pt,alt20,a20,a30,a40,a50,a60,a70
2019-01,9393,2383,6991,3,19,659,409,1857,2832,3610,6005,132,972,240,1973,66,11,61,2,225,8950,128,150,9227,7366,2023,13,794,2041,2616,2316,1204,391
2019-02,9414,2390,7005,3,19,659,409,1861,2840,3619,6019,132,973,241,1978,66,11,62,2,225,8970,128,151,9247,7380,2030,13,796,2044,2620,2313,1212,391
2019-03,9468,2408,7041,3,19,660,409,1870,2860,3643,6055,132,978,242,1990,66,11,64,2,226,9018,131,151,9301,7418,2046,13,802,2055,2631,2325,1224,400
2019-04,9498,2416,7063,3,19,661,410,1873,2872,3656,6073,133,981,242,1998,66,11,64,3,229,9042,133,151,9331,7441,2053,13,804,2063,2640,2330,1229,401
2019-05,9513,2422,7072,3,19,661,410,1875,2879,3662,6084,133,982,242,2001,66,11,64,3,230,9055,134,152,9345,7455,2054,13,806,2067,2641,2335,1232,401
2019-06,9552,2441,7092,3,19,661,411,1877,2892,3685,6106,134,987,244,2010,66,11,64,3,230,9094,134,153,9383,7485,2063,7,809,2082,2646,2334,1240,403
2019-07,9577,2449,7109,3,19,662,411,1882,2903,3693,6118,134,993,245,2016,66,11,64,3,231,9117,135,155,9406,7503,2070,7,811,2085,2652,2350,1244,403
2019-08,9592,2454,7119,3,19,663,411,1883,2910,3699,6127,134,993,245,2022,66,11,64,3,231,9132,135,156,9420,7514,2074,7,813,2088,2657,2345,1247,403
2019-09,9620,2463,7138,3,19,663,411,1887,2919,3714,6145,134,996,247,2027,66,11,65,3,232,9158,135,157,9447,7536,2080,7,816,2096,2662,2358,1252,404
2019-10,9664,2474,7171,3,19,664,411,1895,2932,3736,6178,134,999,247,2034,67,11,65,3,233,9201,135,157,9491,7570,2090,7,816,2101,2671,2373,1263,408
2019-11,9680,2482,7179,3,19,664,411,1895,2937,3747,6187,135,999,247,2040,67,11,65,3,234,9216,135,158,9506,7581,2095,7,818,2103,2675,2374,1266,411
2019-12,9684,2483,7182,3,19,664,411,1895,2939,3749,6190,135,999,247,2041,67,11,65,3,234,9220,135,158,9510,7584,2096,7,818,2105,2676,2375,1266,411
2020-01,9687,2483,7185,3,19,664,411,1895,2941,3750,6192,135,999,247,2042,67,11,65,3,234,9223,135,159,9512,7586,2097,7,818,2106,2678,2375,1266,411
2020-02,9696,2485,7192,3,19,664,411,1896,2943,3756,6198,135,999,247,2045,67,11,66,3,234,9230,136,160,9520,7592,2100,7,819,2111,2678,2377,1267,411
2020-03,9722,2489,7214,3,19,664,412,1898,2954,3768,6209,136,1001,249,2055,67,11,66,3,235,9255,136,160,9546,7608,2110,7,823,2114,2686,2383,1270,414
2020-04,9732,2492,7221,3,19,664,412,1900,2955,3775,6215,136,1002,249,2058,67,11,66,3,235,9265,136,160,9556,7616,2112,7,823,2116,2687,2355,1273,415
2020-05,9738,2492,7227,3,19,664,412,1901,2957,3778,6217,136,1004,249,2060,67,11,66,3,235,9271,136,160,9562,7621,2113,7,823,2117,2687,2390,1274,415
2020-06,9740,2493,7228,3,19,664,412,1902,2958,3778,6217,136,1004,249,2062,67,11,66,3,235,9273,136,160,9564,7623,2113,7,823,2118,2688,2390,1274,415
2020-07,9741,2494,7228,3,19,664,412,1902,2959,3778,6217,136,1004,249,2063,67,11,66,3,235,9274,136,160,9565,7623,2114,7,823,2119,2688,2390,1274,415
2020-08,9746,2494,7233,3,19,664,412,1903,2961,3780,6221,136,1004,249,2064,67,11,66,3,235,9279,136,160,9570,7627,2115,7,824,2120,2689,2391,1275,415
2020-09,9748,2495,7234,3,19,664,412,1903,2963,3780,6222,136,1004,249,2065,67,12,66,3,235,9280,136,160,9572,7629,2115,7,824,2122,2689,2391,1275,415
2020-10,9748,2495,7234,3,19,664,412,1903,2963,3780,6222,136,1004,249,2065,67,12,66,3,235,9280,136,160,9572,7629,2115,7,824,2122,2689,2391,1275,415
